Filnavn;Content
BPGStartside.aspx;
Automatik (ATAK).aspx;
Dokumentation på afsendte EDI.aspx;
Mit XX med Sagsbehandler login.aspx;
Tekst 500 på udbetalingsbilledet.aspx;
Leasing dækning.aspx;
Rette tlf.nr og e-mail på medlem.aspx;
Relationer.aspx;
Rød afmelding.aspx;
Panthaver.aspx;
Knyt EDI.aspx;
Kontrolrapporter (KR-rapporter).aspx;
Tilbagebetaling af præmie.aspx;
BPGSelvrisiko.aspx;
Afslut skade.aspx;
Kopianmeldelse.aspx;
Søg på medlem, skade og modpart.aspx;
Tilmeld SBS (Fordelsværksted).aspx;
Opret modpart, gerningsmand og vidne.aspx;
Knyt anmeldelse fra web.aspx;
Anlæg skade.aspx;
Opret krav.aspx;
Medlem kan ikke anmelde skade på Mit XX på ægtefælles police.aspx;
Topdesk (Servicedesk).aspx;
Glasskader.aspx;[TODO]
Leasing og moms.aspx;
Forretningsgang - sikkerpost.aspx;
BPGUdbetalinger.aspx;
Copy og paste.aspx;
Anlæg u-skade.aspx;
Vejledning i opdatering af Autotekst systembrevene i Outlook.aspx;
Multiarkiv.aspx;
Workflow.aspx;
Taksatorrapporter.aspx;
Politirapport, ung fører, spiritus.aspx;
Ny skadeart og reserve.aspx;
Medlemsinformation, policenotat og kundenotat.aspx;
Systembreve som e-mail.aspx;
Medlem ønsker at anmelde skade på afgangsført police.aspx;
Skadelog.aspx;
Dagbøger.aspx;
Skadeinfo (F2 notater).aspx;
FDM test.aspx;
Klausuler.aspx;
Se Forsikringsbevis.aspx;
Afknyt EDI.aspx;
Sammenlæg EDI.aspx;
Slet udbetaling (RGSO).aspx;
Intern ompostering.aspx;
Efteranvisning.aspx;
Ret reserve.aspx;
